icao,callsign,altitude,lat,lon,type,military,last_seen,icao_type,manufacturer,owner,registered_owner_country_iso_name,registered_owner_operator_flag_code,adsbdb_last_checked
A11CC1,ABX3105 ,32025,40.35347,-80.92230,Unknown,Unknown,2025-05-27 06:28:15,B763,Boeing,Prime Air,US,GTI,2025-05-27 01:11:26
A780AD,HAL1601 ,12200,40.39207,-80.91000,Unknown,Unknown,2025-05-27 01:18:07,,,,,,
AC20E7,SWA951  ,12675,40.65262,-81.25232,Unknown,Unknown,2025-05-27 01:20:38,B38M,Boeing,Southwest Airlines,US,SWA,2025-05-27 01:15:31
A085ED,,37025,,,Unknown,Unknown,2025-05-27 01:16:02,B763,Boeing,Prime Air,US,GTI,2025-05-27 01:15:31
AD8791,N971CC  ,2500,41.23979,-81.57733,Unknown,Unknown,2025-05-27 02:41:22,,,,,,
AD6FF2,AAL618  ,35000,41.02658,-80.94046,Unknown,Unknown,2025-05-27 01:31:23,B738,Boeing,American Airlines,US,AAL,2025-05-27 01:21:40
344503,,,,,Unknown,Unknown,2025-05-27 01:31:49,A333,Airbus,Iberia,ES,IBE,2025-05-27 01:31:54
A66411,N5102D  ,120100,41.02383,-81.70988,Unknown,Unknown,2025-05-27 01:42:43,C172,Cessna,B & R AIRCRAFT LLC,US,,2025-05-27 01:36:00
A9BC12,RPA3464 ,10750,40.74197,-81.27509,Unknown,Unknown,2025-05-27 01:44:59,E75L,Embraer,United Express,US,RPA,2025-05-27 01:38:04
A9C146,N728AB  ,1600,41.07397,-81.50669,Unknown,Unknown,2025-05-27 06:03:54,EC35,Eurocopter,Med-Trans,US,EC35,2025-05-27 01:42:10
A94B0A,,,,,Unknown,Unknown,2025-05-27 01:45:23,B739,Boeing,United Airlines,US,UAL,2025-05-27 01:46:16
A4CF7F,,,,,Unknown,Unknown,2025-05-27 01:45:11,E55P,Embraer,NetJets,US,EJA,2025-05-27 01:46:16
A1442F,,35000,,,Unknown,Unknown,2025-05-27 01:47:37,B38M,Boeing,Southwest Airlines,US,SWA,2025-05-27 01:48:20
A81045,,37000,,,Unknown,Unknown,2025-05-27 02:03:53,B763,Boeing,Delta Air Lines,US,DAL,2025-05-27 02:00:37
A5B1A8,UAL2212 ,35000,40.83508,-80.83472,Unknown,Unknown,2025-05-27 02:24:51,A320,Airbus,United Airlines,US,UAL,2025-05-27 02:17:00
A890FE,,7550,,,Unknown,Unknown,2025-05-27 02:32:55,,,,,,
AC74E4,SWA552  ,39000,40.36395,-80.89447,Unknown,Unknown,2025-05-27 02:34:15,B737,Boeing,Southwest Airlines,US,SWA,2025-05-27 02:29:19
39B493,FBU76X  ,39000,41.36902,-80.63790,Unknown,Unknown,2025-05-27 02:49:45,A359,Airbus,Air Caraibes,FR,FWI,2025-05-27 02:41:39
ADB0B4,,31000,,,Unknown,Unknown,2025-05-27 02:45:34,A321,Airbus,American Airlines,US,AAL,2025-05-27 02:43:43
A7CB0B,AAL391  ,37000,41.59028,-81.34750,Unknown,Unknown,2025-05-27 02:53:54,A320,Airbus,American Airlines,US,AAL,2025-05-27 02:45:46
A27743,N258X   ,40000,41.71453,-81.16642,Unknown,Unknown,2025-05-27 03:02:06,FA7X,Dassault,TVPX Aircraft Solutions Inc Trustee,US,EC45,2025-05-27 02:49:53
A1836C,,,,,Unknown,Unknown,2025-05-27 02:54:07,A320,Airbus,Allegiant Air,US,AAY,2025-05-27 02:56:04
A3B529,,,,,Unknown,Unknown,2025-05-27 03:01:08,B38M,Boeing,American Airlines,US,AAL,2025-05-27 03:02:14
A52898,UAL1076 ,35025,39.87218,-80.98285,Unknown,Unknown,2025-05-27 03:04:05,A320,Airbus,United Airlines,US,UAL,2025-05-27 03:02:14
A1CF6B,JBU478  ,35000,41.60284,-81.53104,Unknown,Unknown,2025-05-27 03:24:07,A321,Airbus,JetBlue Airways,US,JBU,2025-05-27 03:18:42
A27197,ATN3311 ,38000,40.20633,-81.29252,Unknown,Unknown,2025-05-27 03:24:50,B763,Boeing,Prime Air,US,ATN,2025-05-27 03:20:45
